year,sales,operating_profit,net_profit,eps_in_rs,equity_capital,reserves,borrowings,total_assets
Mar 2014,35306,13080,9001,7.0,795,26442,242,40848
Mar 2015,38817,14252,9779,8.0,802,30934,269,45952
Mar 2016,39192,14531,9501,8.0,805,41875,84,51651
Mar 2017,42768,15470,10477,8.47,1215,45198,46,55898
Mar 2018,43449,16521,11493,9.0,1220,51290,36,64241
Mar 2019,48340,18537,12836,10.0,1226,57915,13,71739
Mar 2020,49388,19344,15593,12.0,1229,64044,277,77311
Mar 2021,49257,17065,13383,11.0,1231,59116,271,73761
Mar 2022,60645,20623,15503,12.37,1232,61223,249,77196
Mar 2023,70919,25704,19477,15.0,1243,67912,306,85831
Mar 2024,67932,25188,20751,16.39,1248,73259,303,91754
Mar 2025,75323,25839,35052,27.77,1251,68779,285,88003
